"09:13:44.645","52.330800787","31.175945762","1"
"09:13:45.155","52.330798763","31.175954723","1"
"09:13:45.667","52.330796605","31.175964128","1"
"09:13:46.155","52.330794470","31.175973637","1"
"09:13:46.646","52.330792518","31.175983058","1"
"09:13:47.150","52.330790492","31.175992852","1"
"09:13:47.683","52.330756105","31.175996015","5"
"09:13:48.174","52.330753757","31.176005607","5"
"09:13:48.676","52.330757053","31.176005310","5"
"09:13:49.158","52.330754873","31.176014553","5"
"09:13:49.659","52.330760303","31.176011613","5"
"09:13:50.156","52.330758008","31.176021257","5"
"09:13:50.691","52.330755820","31.176030337","5"
"09:13:51.161","52.330760377","31.176049500","5"
"09:13:51.649","52.330762590","31.176059623","5"
"09:13:52.157","52.330760437","31.176068942","5"
"09:13:52.662","52.330757308","31.176075915","5"
"09:13:53.173","52.330754787","31.176085423","5"
"09:13:53.674","52.330747497","31.176099122","5"
"09:13:54.165","52.330745173","31.176108342","5"
"09:13:54.650","52.330742605","31.176122650","5"
"09:13:55.158","52.330740048","31.176131927","5"
"09:13:55.649","52.330737397","31.176141348","5"
"09:13:56.160","52.330735000","31.176150203","5"
"09:13:56.682","52.330732598","31.176159002","5"
"09:13:57.160","52.330729488","31.176165238","5"
"09:13:57.649","52.330730025","31.176173528","5"
"09:13:58.155","52.330727817","31.176183110","5"
"09:13:58.668","52.330725918","31.176189932","5"
"09:13:59.180","52.330723453","31.176199045","5"
"09:13:59.671","52.330723052","31.176210067","5"
"09:14:00.175","52.330721260","31.176219738","5"
"09:14:00.670","52.330719058","31.176228975","5"
"09:14:01.164","52.330715133","31.176238740","5"
"09:14:01.662","52.330713592","31.176247852","5"
"09:14:02.168","52.330711447","31.176257332","5"
"09:14:02.655","52.330708915","31.176266753","5"
"09:14:03.165","52.330706688","31.176276378","5"
"09:14:03.691","52.330704808","31.176285822","5"
"09:14:04.167","52.330702783","31.176295313","5"
"09:14:04.675","52.330701443","31.176306928","5"
"09:14:05.168","52.330699342","31.176316710","5"
"09:14:05.700","52.330697832","31.176326315","5"
"09:14:06.161","52.330695718","31.176335702","5"
"09:14:06.661","52.330694210","31.176345648","5"
"09:14:07.158","52.330691988","31.176355408","5"
"09:14:07.672","52.330691898","31.176362743","5"
"09:14:08.154","52.330689993","31.176372350","5"
"09:14:08.660","52.330687720","31.176381923","5"
"09:14:09.161","52.330686428","31.176392258","5"
"09:14:09.671","52.330685080","31.176402582","5"
"09:14:10.188","52.330682922","31.176412208","5"
"09:14:10.678","52.330680808","31.176421760","5"
"09:14:11.156","52.330678790","31.176431010","5"
"09:14:11.662","52.330677397","31.176439133","5"
"09:14:12.165","52.330675042","31.176448348","5"
"09:14:12.663","52.330672802","31.176458450","5"
"09:14:13.161","52.330670848","31.176467868","5"
"09:14:13.667","52.330668723","31.176477375","5"
"09:14:14.164","52.330666168","31.176485948","5"
"09:14:14.688","52.330663992","31.176495667","5"
"09:14:15.177","52.330662303","31.176504573","5"
"09:14:15.685","52.330660073","31.176514495","5"
"09:14:16.165","52.330657888","31.176524167","5"
"09:14:16.664","52.330655507","31.176534163","5"
"09:14:17.165","52.330653428","31.176543613","5"
"09:14:17.667","52.330651323","31.176553340","5"
"09:14:18.166","52.330648822","31.176562780","5"
"09:14:18.668","52.330645960","31.176573337","5"
"09:14:19.164","52.330644132","31.176582763","5"
"09:14:19.662","52.330641745","31.176591833","5"
"09:14:20.164","52.330639027","31.176601385","5"
"09:14:20.677","52.330636962","31.176610927","5"
"09:14:21.179","52.330634662","31.176619933","5"
"09:14:21.674","52.330632288","31.176628915","5"
"09:14:22.177","52.330629907","31.176638345","5"
"09:14:22.657","52.330627960","31.176648635","5"
"09:14:23.158","52.330626557","31.176657802","5"
"09:14:23.666","52.330625122","31.176665747","5"
"09:14:24.161","52.330622902","31.176675270","5"
"09:14:24.662","52.330621758","31.176684038","5"
"09:14:25.167","52.330621078","31.176693395","5"
"09:14:25.662","52.330620403","31.176703065","5"
"09:14:26.182","52.330620160","31.176712508","5"
"09:14:26.689","52.330621275","31.176720663","5"
"09:14:27.175","52.330622327","31.176729312","5"
"09:14:27.668","52.330623923","31.176737988","5"
"09:14:28.166","52.330625387","31.176746798","5"
"09:14:28.657","52.330626728","31.176754798","5"
"09:14:29.171","52.330629747","31.176762910","5"
"09:14:29.676","52.330632972","31.176770578","5"
"09:14:30.166","52.330637095","31.176777260","5"
"09:14:30.661","52.330641512","31.176783183","5"
"09:14:31.158","52.330645450","31.176789118","5"
"09:14:31.680","52.330650767","31.176794478","5"
"09:14:32.182","52.330655957","31.176798525","5"
"09:14:32.681","52.330661343","31.176802387","5"
"09:14:33.173","52.330667418","31.176805498","5"
"09:14:33.664","52.330672932","31.176807088","5"
"09:14:34.159","52.330678147","31.176806855","5"
"09:14:34.672","52.330683412","31.176805402","5"
"09:14:35.166","52.330688328","31.176805287","5"
"09:14:35.667","52.330694083","31.176805203","5"
"09:14:36.168","52.330699668","31.176803322","5"
"09:14:36.665","52.330705180","31.176799918","5"
"09:14:37.177","52.330709943","31.176794732","5"
"09:14:37.685","52.330713830","31.176788657","5"
"09:14:38.167","52.330718500","31.176783467","5"
"09:14:38.667","52.330722875","31.176776948","5"
"09:14:39.159","52.330726208","31.176769678","5"
"09:14:39.660","52.330729260","31.176762117","5"
"09:14:40.164","52.330732210","31.176754252","5"
"09:14:40.690","52.330734880","31.176746557","5"
"09:14:41.161","52.330736315","31.176738248","5"
"09:14:41.668","52.330737527","31.176729270","5"
"09:14:42.166","52.330738793","31.176720478","5"
"09:14:42.677","52.330738902","31.176712547","5"
"09:14:43.185","52.330738783","31.176703785","5"
"09:14:43.678","52.330738127","31.176694805","5"
"09:14:44.176","52.330736945","31.176686012","5"
"09:14:44.668","52.330734993","31.176677080","5"
"09:14:45.164","52.330733062","31.176667845","5"
"09:14:45.669","52.330730497","31.176660010","5"
"09:14:46.164","52.330726655","31.176653235","5"
"09:14:46.675","52.330723098","31.176645967","5"
"09:14:47.162","52.330719612","31.176638878","5"
"09:14:47.667","52.330715180","31.176631398","5"
"09:14:48.183","52.330711288","31.176625115","5"
"09:14:48.685","52.330706288","31.176618982","5"
"09:14:49.173","52.330701452","31.176613233","5"
"09:14:49.670","52.330696693","31.176607575","5"
"09:14:50.171","52.330692220","31.176600278","5"
"09:14:51.181","52.330683565","31.176586095","5"
"09:14:51.658","52.330679382","31.176578938","5"
"09:14:52.172","52.330675055","31.176570590","5"
"09:14:52.665","52.330671500","31.176562183","5"
"09:14:53.180","52.330668980","31.176552443","5"
"09:14:53.684","52.330666675","31.176541852","5"
"09:14:54.188","52.330665083","31.176531292","5"
"09:14:54.673","52.330664612","31.176521360","5"
"09:14:55.170","52.330664073","31.176510945","5"
"09:14:55.669","52.330663318","31.176499513","5"
"09:14:56.170","52.330663797","31.176489423","5"
"09:14:56.670","52.330664708","31.176479185","5"
"09:14:57.180","52.330665152","31.176468908","5"
"09:14:57.666","52.330665802","31.176459253","5"
"09:14:58.166","52.330666602","31.176449640","5"
"09:14:58.678","52.330667260","31.176439713","5"
"09:14:59.176","52.330668403","31.176429405","5"
"09:14:59.683","52.330669962","31.176419470","5"
"09:15:00.188","52.330671260","31.176409745","5"
"09:15:00.682","52.330672323","31.176399862","5"
"09:15:01.177","52.330673582","31.176390225","5"
"09:15:01.665","52.330675233","31.176381133","5"
"09:15:02.469","52.330676680","31.176371962","5"
"09:15:02.682","52.330678075","31.176362400","5"
"09:15:03.181","52.330679732","31.176352577","5"
"09:15:03.665","52.330681273","31.176342947","5"
"09:15:04.167","52.330682970","31.176333528","5"
"09:15:05.174","52.330686922","31.176314595","5"
"09:15:05.677","52.330688812","31.176305143","5"
"09:15:06.190","52.330690507","31.176296272","5"
"09:15:06.707","52.330692632","31.176286657","5"
"09:15:07.172","52.330694700","31.176277302","5"
"09:15:07.669","52.330696682","31.176268325","5"
"09:15:08.198","52.330698862","31.176258908","5"
"09:15:08.683","52.330701033","31.176249653","5"
"09:15:09.181","52.330702925","31.176240063","5"
"09:15:09.670","52.330705362","31.176230280","5"
"09:15:10.184","52.330707540","31.176221353","5"
